,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
402,2,2.0,0.06451612710952759,1.0,1.0,0.02734241634607315
403,3,3.0,0.09677419066429138,1.0,1.0,0.036828719079494476
404,4,4.0,0.12903225421905518,1.0,1.0,0.15735964477062225
405,5,5.0,0.16129031777381897,1.0,1.0,0.10580554604530334
406,6,6.0,0.19354838132858276,1.0,1.0,0.1507861614227295
407,7,7.0,0.22580644488334656,1.0,1.0,0.1578698456287384
408,8,8.0,0.25806450843811035,1.0,1.0,0.5638166069984436
409,9,9.0,0.29032257199287415,1.0,1.0,0.5638166069984436
410,10,10.0,0.32258063554763794,1.0,1.0,0.49401384592056274
411,11,11.0,0.35483869910240173,1.0,1.0,0.49401384592056274
